itstId,itstNm,mapCtptIntLat,mapCtptIntLot
1793,강동성심병원,375352957,1271343085
1795,길동사거리,375339461,1271385557
1796,하계5.6단지,376346551,1270661125
1797,마들역,376645430,1270578264
1798,대진여고,376461978,1270662975
1807,삼성해청아파트,375176783,1270437584
1808,장지역,374793554,1271258284
1812,신설동역,375755809,1270232274
1813,광화문,375755726,1269768503
1814,종로6가,375711036,1270067086
1815,경복궁,375758543,1269794201
1816,종로4가,375707425,1269977692
1817,종로구청입구,375702029,1269793148
1818,종로백화점약국,375710408,1270037626
1819,종로1가,375702264,1269829758
1820,종로2가,375702056,1269876851
1821,세종대로사거리,375701758,1269770290
1822,통인교차로,375794539,1269713498
1823,신교동,375838447,1269703958
1826,안국역,375768589,1269861801
1827,통인시장,375814610,1269708642
1828,하림각,375978194,1269626128
1829,자하문터널북단,375951809,1269636525
1830,재향군인회,375733612,1269975784
1831,혜화역,375829472,1270017630
1832,무악재역,375819776,1269505189
1835,광교,375690373,1269827797
1836,합청,375794179,1269738268
1838,구기동정류장,376070339,1269587855
1839,종로5가,375710013,1270019255
1843,낙원상가,375735455,1269876807
1846,구기터널,376084681,1269567144
1847,신영소방서,376058314,1269606180
185,인권빌딩,375342458,1268635971
1850,청계2가,375682795,1269876861
1851,창경궁,375790415,1269966823
1854,조계사,375739436,1269829375
1855,팔판동,375810688,1269802530
1857,정부서울청사,375757580,1269743313
186,용두119안전센터앞,375780826,1270317389
1861,우리은행효자,375781183,1269718623
1863,종로3가,375704205,1269921386
1864,청계4가,375690316,1269979233
1865,동묘앞역,375730228,1270156343
1866,성균관대입구,375830166,1269987504
1867,국립과학관,375814946,1269970056
1869,둔촌아파트입구삼거리,375236777,1271346825
1871,LG전자,374815134,1269504182
1873,낙성대입구,374785270,1269598853
1876,중계종합사회복지관,376572335,1270768473
1877,중계주공4.5단지,376545558,1270781698
1882,강서운전면허시험장입구,375493647,1268195630
1885,코끼리약국,375081781,1270879169
189,관악우성아파트,374864113,1269568561
1893,강서한강자이타워,375656407,1268465729
1899,한강대교북단,375224199,1269617766
1900,중계9단지,376411938,1270763343
1904,목동월드파크빌,375408714,1268637453
1909,성가복지병원,376063813,1270311781
1911,동일로주유소,375679478,1270785921
1912,신내데시앙정문,376108300,1271011727
1914,워커힐아파트,375480903,1271070931
1915,둔촌고교입구,375352166,1271453212
1917,은일로즈힐아파트,375163123,1268369575
1918,신화중학교,375395017,1268309036
1921,삼일빌딩앞,375627074,1270003211
1922,홍은풍림아파트,375951590,1269402854
1923,홍제역,375880055,1269451089
1924,무악재한화아파트,375827395,1269501417
1926,안산초교,375805804,1269517861
1928,서울역광장,375540576,1269729844
1929,서울역R,375570508,1269726242
1943,시민교회,375545041,1270863109
1946,청계광장,375694153,1269771986
1954,군자역,375571793,1270794927
1957,어린이회관앞,375456142,1270785874
1958,고척중,375006441,1268636020
196,세이브마트,374739725,1269176019
1962,북부도로교통사업소앞,376340616,1270376232
1963,대명신협,375786574,1270403900
1966,인덕대학,376289518,1270549892
197,난우지구대,374797112,1269149363
1971,평안섬유공업사,375891509,1270589138
1972,배봉초교,375786639,1270684224
1977,동서울케이블TV앞,375428285,1270618607
